Group Name,Group ID,Project Name,Project ID,Project Description,Issue Title,Issue ID,Description,Labels,Author,Assignees,Created At,Updated At,Closed At,Due Date,Milestone,Milestone ID,Milestone Due Date,Weight,Time Estimate,Total Time Spent,Comments Count,Subscribers Count,Discussion Locked,Last Edited At,Last Edited By,Merge Requests Count,Health Status,State,Confidential,Web URL,Complexidade,Peso Calculado,Prioridade Calculada,Status Consolidado
grp cemig-deletion_scheduled-5,5,prj bairro novo wendell,3,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,False,N/A,N/A,0,N/A,N/A,False,N/A,N/A,0,Não informado,Não definido
mitologia-tech,6,scrum-productivity-analytics,2,,Documentar arquitetura e resultados do projeto,33,"Documentar a arquitetura da solução, o fluxo de dados adotado e os principais resultados obtidos com a análise, servindo de base para o Trabalho de Conclusão de Curso.","C1-Baixa, P1-Baixa",Administrator,Morfeu,2025-12-29T18:58:04.352Z,2026-01-06T17:01:52.779Z,2025-12-31T17:08:38.670Z,,Sprint 4,4,2026-01-31,N/A,,,0,0,None,N/A,N/A,0,N/A,closed,False,http://gitlab/grp-prodemge/prj-python/-/issues/33,C1-Baixa,1,P1-Muito Alta,Concluído
mitologia-tech,6,scrum-productivity-analytics,2,,Criar dashboard de acompanhamento por sprint,32,"Desenvolver um dashboard específico para acompanhamento do desempenho das sprints, permitindo analisar evolução e entregas ao longo do tempo.","C2-Média, P3-Alta, 🔍 Revisão - Homologação",Administrator,Poseidon,2025-12-29T18:57:47.732Z,2026-01-06T17:02:25.167Z,,,Sprint 4,4,2026-01-31,N/A,,,0,0,None,N/A,N/A,0,N/A,opened,False,http://gitlab/grp-prodemge/prj-python/-/issues/32,C2-Média,2,P3-Média,Revisão-Homologação
mitologia-tech,6,scrum-productivity-analytics,2,,Criar dashboard de visão geral do projeto,31,"Criar um dashboard consolidado com visão geral do projeto, apresentando indicadores principais de produtividade e andamento das tarefas.","C2-Média, P3-Alta, 🔍 Revisão - Homologação",Administrator,Poseidon,2025-12-29T18:57:25.962Z,2026-01-06T17:02:28.800Z,,,Sprint 4,4,2026-01-31,N/A,,,0,0,None,N/A,N/A,0,N/A,opened,False,http://gitlab/grp-prodemge/prj-python/-/issues/31,C2-Média,2,P3-Média,Revisão-Homologação
mitologia-tech,6,scrum-productivity-analytics,2,,Criar indicadores de tarefas por prioridade,30,"Desenvolver análises que mostrem a distribuição das tarefas por nível de prioridade, auxiliando na identificação de gargalos.","C2-Média, P2-Média, 📝 A fazer",Administrator,Poseidon,2025-12-29T18:57:10.189Z,2025-12-30T13:50:33.766Z,,,N/A,N/A,N/A,N/A,,,0,0,None,N/A,N/A,0,N/A,opened,False,http://gitlab/grp-prodemge/prj-python/-/issues/30,C2-Média,2,P2-Alta,A fazer
mitologia-tech,6,scrum-productivity-analytics,2,,Criar indicadores de produtividade por colaborador,29,Criar métricas e visualizações que permitam avaliar a produtividade dos colaboradores com base na quantidade de tarefas atribuídas e concluídas.,"C2-Média, P3-Alta, 📋 Backlog",Administrator,Hercules,2025-12-29T18:56:53.568Z,2025-12-31T17:16:11.974Z,,,N/A,N/A,N/A,N/A,,,0,0,None,N/A,N/A,0,N/A,opened,False,http://gitlab/grp-prodemge/prj-python/-/issues/29,C2-Média,2,P3-Média,Backlog
mitologia-tech,6,scrum-productivity-analytics,2,,Criar indicadores de tarefas por status,28,"Desenvolver indicadores que permitam analisar a distribuição das tarefas por status (backlog, em andamento, concluídas, etc.).","C2-Média, P3-Alta, 🧪 Testes",Administrator,Poseidon,2025-12-29T18:56:36.428Z,2026-01-06T17:02:37.267Z,,,Sprint 4,4,2026-01-31,N/A,,,0,0,None,N/A,N/A,0,N/A,opened,False,http://gitlab/grp-prodemge/prj-python/-/issues/28,C2-Média,2,P3-Média,Testes
mitologia-tech,6,scrum-productivity-analytics,2,,Definir modelo analítico no Power BI,27,"Definir o modelo de dados no Power BI, organizando tabelas, relacionamentos e campos necessários para análise.","C3-Alta, P3-Alta",Administrator,Zeus,2025-12-29T18:56:21.782Z,2026-01-06T17:01:22.910Z,2025-12-31T17:17:40.728Z,,Sprint 3,3,2025-12-31,N/A,,,0,0,None,N/A,N/A,0,N/A,closed,False,http://gitlab/grp-prodemge/prj-python/-/issues/27,C3-Alta,3,P3-Média,Concluído
mitologia-tech,6,scrum-productivity-analytics,2,,Validar datas de criação e fechamento,26,"Verificar a consistência das datas de criação, atualização e fechamento das issues para garantir análises temporais corretas.","C1-Baixa, P1-Baixa",Administrator,Perseu,2025-12-29T18:55:52.852Z,2026-01-06T16:58:31.798Z,2025-12-31T17:14:47.033Z,,Sprint 4,4,2026-01-31,N/A,,,0,0,None,N/A,N/A,0,N/A,closed,False,http://gitlab/grp-prodemge/prj-python/-/issues/26,C1-Baixa,1,P1-Muito Alta,Concluído
mitologia-tech,6,scrum-productivity-analytics,2,,Verificar duplicidade de issues,25,Analisar o dataset para identificar e evitar possíveis duplicidades de registros de issues.,"C1-Baixa, P2-Média",Administrator,Perseu,2025-12-29T18:55:20.530Z,2026-01-06T17:01:46.602Z,2025-12-31T17:14:45.077Z,,Sprint 3,3,2025-12-31,N/A,,,0,0,None,N/A,N/A,0,N/A,closed,False,http://gitlab/grp-prodemge/prj-python/-/issues/25,C1-Baixa,1,P2-Alta,Concluído
